price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
1.4,1.4,"Cerveza SAN MIGUEL, botella 1 litro",No promotion,SAN MIGUEL,botella,", ",1,Not image,Eroski
4.99,1.68,"Cerveza clásica MAHOU, pack botellín 12x25 cl",No promotion, MAHOU,No specified,25 cl,12,Not image,Eroski
10.8,3.04,"Cerveza mexicana CORONA, pack botellín 10x35,5 cl",No promotion, CORONA,No specified,"35,5 cl",10,Not image,Eroski
3.75,2.52,"Cerveza americana BUDWEISER, pack botellín 6x25 cl",No promotion, BUDWEISER,No specified,25 cl,6,Not image,Eroski
0.58,1.76,"Cerveza MAHOU Clásica, lata 33 cl",No promotion,MAHOU C,lata,33 cl,1,Not image,Eroski
1.32,2.64,"Cerveza alemana FRANZISKANER, lata 50 cl",No promotion, FRANZISKANER,lata,50 cl,1,Not image,Eroski
0.67,2.03,"Cerveza Especial ALHAMBRA, lata 33 cl",No promotion, ALHAMBRA,lata,33 cl,1,Not image,Eroski
1.4,1.4,"Cerveza clásica MAHOU, botella 1 litro",No promotion, MAHOU,botella,", ",1,Not image,Eroski
2.64,1.76,"Cerveza sin alcohol MAHOU, pack botellín 6x25 cl",No promotion, MAHOU,No specified,25 cl,6,Not image,Eroski
3.35,2.24,"Cerveza Lager Auténtica LA SALVE Bilbao, pack botellín 6x25 cl",2ª unidad -50%, LA SALVE B,No specified,25 cl,6,Not image,Eroski
0.73,2.21,"Cerveza KRONENBOURG, lata 33 cl",No promotion,KRONENBOURG,lata,33 cl,1,Not image,Eroski
0.68,2.06,"Cerveza CARLSBERG, lata 33 cl",No promotion,CARLSBERG,lata,33 cl,1,Not image,Eroski
0.89,2.7,"Cerveza SAN MIGUEL Selecta, botellín 33 cl",No promotion,SAN MIGUEL S,No specified,33 cl,1,Not image,Eroski
0.82,2.48,"Cerveza sin gluten SAN MIGUEL, botellín 33 cl",No promotion, SAN MIGUEL,No specified,33 cl,1,Not image,Eroski
0.62,1.88,"Cerveza sin alcohol sabor manzana 0,0 SAN MIGUEL, lata 33 cl",No promotion,0 SAN MIGUEL,lata,33 cl,1,Not image,Eroski
1.82,5.52,"Cerveza belga GRIMBERGEN BLONDE, botellín 33 cl",No promotion, GRIMBERGEN BLONDE,No specified,33 cl,1,Not image,Eroski
1.87,5.67,"Cerveza tostada LA SALVE Munich, botellín 33 cl",No promotion, LA SALVE M,No specified,33 cl,1,Not image,Eroski
2.61,1.76,"Cerveza 0,0 limón SAN MIGUEL, pack botellín 6x25 cl",No promotion, SAN MIGUEL,No specified,25 cl,6,Not image,Eroski
0.67,2.03,"Cerveza Magna SAN MIGUEL, lata 33 cl",No promotion, SAN MIGUEL,lata,33 cl,1,Not image,Eroski
1.35,2.7,"Cerveza sin FRANZISKANER, botellín 50 cl",No promotion, FRANZISKANER,No specified,50 cl,1,Not image,Eroski
3.49,2.32,"Cerveza ALHAMBRA Tradición, pack botellín 6x25 cl",No promotion,ALHAMBRA T,No specified,25 cl,6,Not image,Eroski
2.75,1.84,"Cerveza MAHOU Clásica, pack botellín 6x25 cl",No promotion,MAHOU C,No specified,25 cl,6,Not image,Eroski
1.26,3.82,"Cerveza Fresca SAN MIGUEL, botellín 33 cl",No promotion, SAN MIGUEL,No specified,33 cl,1,Not image,Eroski
4.0,5.71,Cerveza Reserva 1925 ALHAMBRA botella 70 cl,No promotion, 1925 ALHAMBRA ,botella,70 cl,1,Not image,Eroski
0.8,1.6,"Cerveza MAHOU Clásica, lata 50 cl",No promotion,MAHOU C,lata,50 cl,1,Not image,Eroski
0.69,2.09,"Cerveza Radler ALHAMBRA, lata 33 cl",No promotion, ALHAMBRA,lata,33 cl,1,Not image,Eroski
1.49,2.98,"Cerveza alemana FRANZISKANER Dunkel, botellín 50 cl",No promotion, FRANZISKANER D,No specified,50 cl,1,Not image,Eroski
1.16,3.52,"Cerveza BUDWEISER, botellín 33 cl",No promotion,BUDWEISER,No specified,33 cl,1,Not image,Eroski
0.69,2.09,"Cerveza Radler MAHOU 5 Estrellas, lata 33 cl",No promotion, MAHOU 5 E,lata,33 cl,1,Not image,Eroski
4.69,3.12,"Cerveza CARLSBERG, pack botellín 6x25 cl",No promotion,CARLSBERG,No specified,25 cl,6,Not image,Eroski
0.86,2.61,"Cerveza Manila SAN MIGUEL, lata 33 cl",No promotion, SAN MIGUEL,lata,33 cl,1,Not image,Eroski
1.99,5.61,"Cerveza All Day Ipa FOUNDERS, lata 35,5 cl",2ª unidad -50%, FOUNDERS,lata,"35,5 cl",1,Not image,Eroski
1.08,3.27,"Cerveza Lager Auténtica LA SALVE, botellín 33 cl",No promotion, LA SALVE,No specified,33 cl,1,Not image,Eroski
1.18,3.58,"Cerveza maestra Dunkel MAHOU, botellín 33 cl",No promotion, MAHOU,No specified,33 cl,1,Not image,Eroski
0.81,2.45,"Cerveza SAN MIGUEL 1516, lata 33 cl",No promotion,SAN MIGUEL 1516,lata,33 cl,1,Not image,Eroski
2.69,3.59,"Cerveza ABADÍA LEFFE Blonde, botella 75 cl",No promotion,ABADÍA LEFFE B,botella,75 cl,1,Not image,Eroski
3.36,2.24,"Cerveza Magna SAN MIGUEL, pack botellín 6x25 cl",No promotion, SAN MIGUEL,No specified,25 cl,6,Not image,Eroski
1.76,5.33,"Cerveza barrica MAHOU, botellín 33 cl",No promotion, MAHOU,No specified,33 cl,1,Not image,Eroski
1.56,4.73,"Cerveza WARSTEINER, botellín 33 cl",No promotion,WARSTEINER,No specified,33 cl,1,Not image,Eroski
1.08,3.27,Cerveza Manila SAN MIGUEL botellín 33 cl,No promotion, SAN MIGUEL ,No specified,33 cl,1,Not image,Eroski
1.82,5.52,"Cerveza belga Blanche GRIMBERGEN, botellín 33 cl",No promotion, GRIMBERGEN,No specified,33 cl,1,Not image,Eroski
1.26,3.82,"Cerveza mexicana negra MODELO, botellín 33 cl",No promotion, MODELO,No specified,33 cl,1,Not image,Eroski
1.22,3.44,"Cerveza PACÍFICO, botellín 35,5 cl",No promotion,PACÍFICO,No specified,"35,5 cl",1,Not image,Eroski
1.8,5.45,"Cerveza APA Txirene LA SALVE, botellín 33 cl",No promotion,APA T,No specified,33 cl,1,Not image,Eroski
1.02,3.09,"Cerveza SAN MIGUEL 1516, botellín 33 cl",No promotion,SAN MIGUEL 1516,No specified,33 cl,1,Not image,Eroski
2.99,8.42,"Cerveza Centennial Ipa FOUNDERS, botellín 35,5 cl",No promotion, FOUNDERS,No specified,"35,5 cl",1,Not image,Eroski
2.99,8.42,"Cerveza All Day Ipa FOUNDERS, botellín 35,5 cl",No promotion, FOUNDERS,No specified,"35,5 cl",1,Not image,Eroski
1.33,2.66,"Cerveza alemana SPATEM MUNC, botellín 50 cl",No promotion, SPATEM MUNC,No specified,50 cl,1,Not image,Eroski
1.55,3.1,"Cerveza WARSTEINER, lata 50 cl",No promotion,WARSTEINER,lata,50 cl,1,Not image,Eroski
0.66,2.0,"Cerveza Magna Roja 0,0 SAN MIGUEL, lata 33 cl",2ª unidad -50%,0 SAN MIGUEL,lata,33 cl,1,Not image,Eroski
2.99,8.42,"Cerveza Porter FOUNDERS, botellín 35,5 cl",No promotion, FOUNDERS,No specified,"35,5 cl",1,Not image,Eroski
3.11,8.29,"Cerveza Casimiro Ale MAHOU, botellín 37,5 cl",No promotion, MAHOU,No specified,"37,5 cl",1,Not image,Eroski
4.3,6.14,"Cerveza roja ALHAMBRA, botella 70 cl",No promotion, ALHAMBRA,botella,70 cl,1,Not image,Eroski
1.19,2.38,"Cerveza alemana BECK`S, botellín 50 cl",No promotion, BECK,No specified,50 cl,1,Not image,Eroski
1.29,3.91,"Cerveza CUBANISTO, botellín 33 cl",No promotion,CUBANISTO,No specified,33 cl,1,Not image,Eroski
3.11,8.29,"Cerveza Casimiro Extra MAHOU, botellín 37,5 cl",No promotion, MAHOU,No specified,"37,5 cl",1,Not image,Eroski
3.11,8.29,"Cerveza Casimiro Lager MAHOU, botellín 37,5 cl",No promotion, MAHOU,No specified,"37,5 cl",1,Not image,Eroski
6.74,2.03,"Cerveza especial ESTRELLA GALICIA, pack lata 10x33 cl",No promotion, ESTRELLA GALICIA,lata,33 cl,10,Not image,Eroski
6.44,2.16,"Cerveza especial ESTRELLA GALICIA, pack botellín 12x25 cl",No promotion, ESTRELLA GALICIA,No specified,25 cl,12,Not image,Eroski
2.95,0.76,"Cerveza AURUM, pack 12x33 cl",No promotion,AURUM,No specified,33 cl,12,Not image,Eroski
9.25,2.33,"Cerveza VOLL-DAMM, pack lata 12x33 cl",No promotion,VOLL,lata,33 cl,12,Not image,Eroski
7.67,1.94,"Cerveza HEINEKEN, pack lata 12x33 cl",2ª unidad -50%,HEINEKEN,lata,33 cl,12,Not image,Eroski
10.88,2.06,"Cerveza especial ESTRELLA GALICIA, pack 16x33 cl",No promotion, ESTRELLA GALICIA,No specified,33 cl,16,Not image,Eroski
3.29,2.2,"Cerveza especial ESTRELLA GALICIA, pack botellín 6x25 cl",No promotion, ESTRELLA GALICIA,No specified,25 cl,6,Not image,Eroski
7.32,1.85,"Cerveza AMSTEL Radler, pack lata 12x33 cl",No promotion,AMSTEL R,lata,33 cl,12,Not image,Eroski
5.88,2.97,"Cerveza 1906, pack botellín 6x33 cl",No promotion,1906,No specified,33 cl,6,Not image,Eroski
0.79,2.39,"Cerveza VOLL-DAMM, lata 33 cl",No promotion,VOLL,lata,33 cl,1,Not image,Eroski
6.48,1.64,"Cerveza AMSTEL, pack lata 12x33 cl",No promotion,AMSTEL,lata,33 cl,12,Not image,Eroski
6.96,1.76,"Cerveza KELER, pack lata 12x33 cl",No promotion,KELER,lata,33 cl,12,Not image,Eroski
0.68,2.06,"Cerveza especial ESTRELLA GALICIA, lata 33 cl",No promotion, ESTRELLA GALICIA,lata,33 cl,1,Not image,Eroski
6.32,2.8,"Cerveza 1906 ESTRELLA GALICIA, pack 9x25 cl",No promotion,1906 ESTRELLA GALICIA,No specified,25 cl,9,Not image,Eroski
0.62,1.88,"Cerveza con limón AMSTEL Radler, lata 33 cl",No promotion, AMSTEL R,lata,33 cl,1,Not image,Eroski
0.64,1.94,"Cerveza HEINEKEN, lata 33 cl",No promotion,HEINEKEN,lata,33 cl,1,Not image,Eroski
