price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
6.57,3.31,cervezas alhambra reserva 1925 pack  6 uds. x 33 cl.,No promotion,cervezas alhambra reserva 1925 pack  6 ,No specified,33 cl,6,https://www.alcampo.es/media/h43/ha2/9492132626462.jpg,Alcampo
5.76,1.45,"cerveza tostada  0,0 % alcohol mahou pack 12 latas x 33 cl.",No promotion, alcohol mahou pack 12 latas x 33 ,lata,33 cl,1,https://www.alcampo.es/media/h90/h8d/9475631546398.jpg,Alcampo
0.75,0.75,cerveza heifer 1 litro,No promotion,cerveza heifer 1 ,No specified,1 L,1,https://www.alcampo.es/media/h95/h60/8891090993182.jpg,Alcampo
0.54,1.63,"cerveza 0,0 % tostada amstel oro 33 cl.",No promotion, tostada amstel oro 33 ,No specified,33 cl,1,https://www.alcampo.es/media/had/h49/9548561186846.jpg,Alcampo
0.58,1.75,cerveza tostada amstel oro lata de 33 cl.,No promotion,cerveza tostada amstel oro lata de 33 ,lata,33 cL,1,https://www.alcampo.es/media/h7c/ha9/9546810982430.jpg,Alcampo
0.66,2.0,cerveza sin filtrar el águila 33 cl.,No promotion,cerveza sin filtrar el águila 33 ,No specified,33 cl,1,https://www.alcampo.es/media/had/h5a/9548538806302.jpg,Alcampo
1.29,1.29,cerveza cruzcampo 1 l.,No promotion,cerveza cruzcampo 1 ,No specified,1 l,1,https://www.alcampo.es/media/h4c/hbb/10172156543006.jpg,Alcampo
0.64,1.93,cerveza tostada doble lúpulo mahou maestra lata de 33 cl.,No promotion,cerveza tostada doble lúpulo mahou maestra lata de 33 ,lata,33 cl,1,https://www.alcampo.es/media/h69/hb5/9492144259102.jpg,Alcampo
0.77,1.54,cerveza rubia estrella de galicia lata de 50 cl.,No promotion,cerveza rubia estrella de galicia lata de 50 ,lata,50 cl,1,https://www.alcampo.es/media/he4/hf7/9522755239966.jpg,Alcampo
0.27,0.81,cerveza con limón sin alcohol holbrand lata de 33 cl.,No promotion,cerveza con limón sin alcohol holbrand lata de 33 ,lata,33 cl,1,https://www.alcampo.es/media/hdd/h75/8890967785502.jpg,Alcampo
