price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
1.76,5.33,"Cerveza barrica MAHOU, botellín 33 cl",No promotion,barrica mahou,No specified,33 cl,1,https://supermercado.eroski.es/images/19191956.jpg,Eroski
1.56,4.73,"Cerveza WARSTEINER, botellín 33 cl",No promotion,warsteiner,No specified,33 cl,1,https://supermercado.eroski.es/images/14061709.jpg,Eroski
3.36,2.24,"Cerveza Magna SAN MIGUEL, pack botellín 6x25 cl",No promotion,magna san miguel,No specified,25 cl,6,https://supermercado.eroski.es/images/22226062.jpg,Eroski
0.81,2.45,"Cerveza SAN MIGUEL 1516, lata 33 cl",No promotion,san miguel 1516,lata,33 cl,1,https://supermercado.eroski.es/images/6352488.jpg,Eroski
1.82,5.52,"Cerveza belga Blanche GRIMBERGEN, botellín 33 cl",No promotion,belga blanche grimbergen,No specified,33 cl,1,https://supermercado.eroski.es/images/16451429.jpg,Eroski
1.26,3.82,"Cerveza mexicana negra MODELO, botellín 33 cl",No promotion,mexicana negra modelo,No specified,33 cl,1,https://supermercado.eroski.es/images/592782.jpg,Eroski
1.08,3.27,Cerveza Manila SAN MIGUEL botellín 33 cl,No promotion,"manila san miguel botellín 33 cl
1 litro a 3,27 €
ahora
1,08 €
añadir
añadir a la lista",No specified,33 cl,1,https://supermercado.eroski.es/images/21025416.jpg,Eroski
1.8,5.45,"Cerveza APA Txirene LA SALVE, botellín 33 cl",No promotion,apa txirene la salve,No specified,33 cl,1,https://supermercado.eroski.es/images/23057417.jpg,Eroski
1.22,3.44,"Cerveza PACÍFICO, botellín 35,5 cl",No promotion,pacífico,No specified,"35,5 cl",1,https://supermercado.eroski.es/images/15046212.jpg,Eroski
1.02,3.09,"Cerveza SAN MIGUEL 1516, botellín 33 cl",No promotion,san miguel 1516,No specified,33 cl,1,https://supermercado.eroski.es/images/15093529.jpg,Eroski
2.99,8.42,"Cerveza Centennial Ipa FOUNDERS, botellín 35,5 cl",No promotion,centennial ipa founders,No specified,"35,5 cl",1,https://supermercado.eroski.es/images/19501303.jpg,Eroski
2.99,8.42,"Cerveza All Day Ipa FOUNDERS, botellín 35,5 cl",No promotion,all day ipa founders,No specified,"35,5 cl",1,https://supermercado.eroski.es/images/19501170.jpg,Eroski
1.33,2.66,"Cerveza alemana SPATEM MUNC, botellín 50 cl",No promotion,alemana spatem munc,No specified,50 cl,1,https://supermercado.eroski.es/images/234708.jpg,Eroski
0.66,2.0,"Cerveza Magna Roja 0,0 SAN MIGUEL, lata 33 cl",No promotion,"magna roja 0,0 san miguel",lata,33 cl,1,https://supermercado.eroski.es/images/23486905.jpg,Eroski
1.55,3.1,"Cerveza WARSTEINER, lata 50 cl",No promotion,warsteiner,lata,50 cl,1,https://supermercado.eroski.es/images/16898751.jpg,Eroski
2.99,8.42,"Cerveza Porter FOUNDERS, botellín 35,5 cl",No promotion,porter founders,No specified,"35,5 cl",1,https://supermercado.eroski.es/images/19501337.jpg,Eroski
2.99,8.42,"Cerveza Dirty Bastard FOUNDERS, botellín 35,5 cl",No promotion,dirty bastard founders,No specified,"35,5 cl",1,https://supermercado.eroski.es/images/19501287.jpg,Eroski
3.11,8.29,"Cerveza Casimiro Ale MAHOU, botellín 37,5 cl",No promotion,casimiro ale mahou,No specified,"37,5 cl",1,https://supermercado.eroski.es/images/18529271.jpg,Eroski
1.19,2.38,"Cerveza alemana BECK`S, botellín 50 cl",No promotion,alemana beck`s,No specified,50 cl,1,https://supermercado.eroski.es/images/18552620.jpg,Eroski
4.3,6.14,"Cerveza roja ALHAMBRA, botella 70 cl",No promotion,roja alhambra,botella,70 cl,1,https://supermercado.eroski.es/images/21320403.jpg,Eroski
1.29,3.91,"Cerveza CUBANISTO, botellín 33 cl",No promotion,cubanisto,No specified,33 cl,1,https://supermercado.eroski.es/images/21034434.jpg,Eroski
3.11,8.29,"Cerveza Casimiro Extra MAHOU, botellín 37,5 cl",No promotion,casimiro extra mahou,No specified,"37,5 cl",1,https://supermercado.eroski.es/images/18529305.jpg,Eroski
3.11,8.29,"Cerveza Casimiro Lager MAHOU, botellín 37,5 cl",No promotion,casimiro lager mahou,No specified,"37,5 cl",1,https://supermercado.eroski.es/images/18529214.jpg,Eroski
6.74,2.03,"Cerveza especial ESTRELLA GALICIA, pack lata 10x33 cl",No promotion,especial estrella galicia,lata,33 cl,10,https://supermercado.eroski.es/images/5594999.jpg,Eroski
6.44,2.16,"Cerveza especial ESTRELLA GALICIA, pack botellín 12x25 cl",No promotion,especial estrella galicia,No specified,25 cl,12,https://supermercado.eroski.es/images/8655235.jpg,Eroski
2.95,0.76,"Cerveza AURUM, pack 12x33 cl",No promotion,aurum,No specified,33 cl,12,https://supermercado.eroski.es/images/11798923.jpg,Eroski
9.25,2.33,"Cerveza VOLL-DAMM, pack lata 12x33 cl",No promotion,voll-damm,lata,33 cl,12,https://supermercado.eroski.es/images/13756101.jpg,Eroski
7.67,1.94,"Cerveza HEINEKEN, pack lata 12x33 cl",2ª unidad -50%,heineken,lata,33 cl,12,https://supermercado.eroski.es/images/7095318.jpg,Eroski
9.52,1.82,"Cerveza especial ESTRELLA GALICIA, pack 16x33 cl","10,88 € Antes",especial estrella galicia,No specified,33 cl,16,https://supermercado.eroski.es/images/17480567.jpg,Eroski
3.29,2.2,"Cerveza especial ESTRELLA GALICIA, pack botellín 6x25 cl",No promotion,especial estrella galicia,No specified,25 cl,6,https://supermercado.eroski.es/images/1850163.jpg,Eroski
7.32,1.85,"Cerveza AMSTEL Radler, pack lata 12x33 cl",No promotion,amstel radler,lata,33 cl,12,https://supermercado.eroski.es/images/18594176.jpg,Eroski
5.88,2.97,"Cerveza 1906, pack botellín 6x33 cl",No promotion,1906,No specified,33 cl,6,https://supermercado.eroski.es/images/1850189.jpg,Eroski
0.79,2.39,"Cerveza VOLL-DAMM, lata 33 cl",No promotion,voll-damm,lata,33 cl,1,https://supermercado.eroski.es/images/336073.jpg,Eroski
6.96,1.76,"Cerveza KELER, pack lata 12x33 cl",No promotion,keler,lata,33 cl,12,https://supermercado.eroski.es/images/17820036.jpg,Eroski
6.48,1.64,"Cerveza AMSTEL, pack lata 12x33 cl",No promotion,amstel,lata,33 cl,12,https://supermercado.eroski.es/images/12829008.jpg,Eroski
0.68,2.06,"Cerveza especial ESTRELLA GALICIA, lata 33 cl",No promotion,especial estrella galicia,lata,33 cl,1,https://supermercado.eroski.es/images/1850197.jpg,Eroski
6.32,2.8,"Cerveza 1906 ESTRELLA GALICIA, pack 9x25 cl",No promotion,1906 estrella galicia,No specified,25 cl,9,https://supermercado.eroski.es/images/10277796.jpg,Eroski
0.62,1.88,"Cerveza con limón AMSTEL Radler, lata 33 cl",No promotion,con limón amstel radler,lata,33 cl,1,https://supermercado.eroski.es/images/17234691.jpg,Eroski
0.65,1.97,"Cerveza HEINEKEN, lata 33 cl",No promotion,heineken,lata,33 cl,1,https://supermercado.eroski.es/images/319400.jpg,Eroski
3.1,2.08,"Cerveza 0,0 ESTRELLA GALICIA, pack botellín 6x25 cl",No promotion,"0,0 estrella galicia",No specified,25 cl,6,https://supermercado.eroski.es/images/14226435.jpg,Eroski
11.33,1.91,"Cerveza HEINEKEN, pack lata 18x33 cl",No promotion,heineken,lata,33 cl,18,https://supermercado.eroski.es/images/16050700.jpg,Eroski
2.99,2.0,"Cerveza holandesa HEINEKEN, pack botellín 6x25 cl","3,75 € Antes",holandesa heineken,No specified,25 cl,6,https://supermercado.eroski.es/images/398321.jpg,Eroski
