price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
2.7,1.8,san miguel cerveza rubia premium especial pack 6 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,botella,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201508/18/00200502200066____1__40x40.jpg,El Corte Ingles
0.56,1.7,san miguel cerveza rubia premium especial lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201907/31/00118600300083____3__40x40.jpg,El Corte Ingles
0.84,2.55,san miguel cerveza rubia especial sin gluten botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201607/08/00118651000038____2__40x40.jpg,El Corte Ingles
1.26,1.26,san miguel cerveza rubia tradicional botella 1 l ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,botella,1 l,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200166____2__325x325.jpg,El Corte Ingles
1.04,3.15,san miguel fresca cerveza rubia nacional botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel fresca ,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201909/24/00118602202345____1__325x325.jpg,El Corte Ingles
0.84,1.68,san miguel cerveza rubia premium especial lata 50 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,lata,50 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201907/31/00118600300075____2__325x325.jpg,El Corte Ingles
10.69,1.78,san miguel cerveza rubia nacional pack 24 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,botella,25 cl,24,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201508/18/00200502200090____1__325x325.jpg,El Corte Ingles
4.14,2.76,san miguel cerveza rubia nacional ecológica pack 6 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,botella,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201607/08/00118602400030____2__325x325.jpg,El Corte Ingles
6.4,1.62,alhambra cerveza rubia tradicional pack 12 latas 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,alhambra ,lata,33 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201807/18/00118600302030____1__325x325.jpg,El Corte Ingles
5.09,1.7,alhambra cerveza rubia tradicional pack 12 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,alhambra ,botella,25 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201805/18/00118602200679____5__325x325.jpg,El Corte Ingles
