price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,id
1.55,3.1,Cerveza 1906 reserva especial botella 50 cl.,No promotion,estrella galicia 1906,botella,50 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/532266_00_1.jpg,Carrefour,50
4.05,2.7,Cerveza tostada Estrella Galicia 0.0 alcohol pack 6 botellas 25 cl.,No promotion,"estrella galicia sin alcohol 0,0%",botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/530568_00_1.jpg,Carrefour,51
6.21,1.57,Cerveza Alhambra tradicional pack de 12 latas de 33 cl.,No promotion,alhambra,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/618756_00_1.jpg,Carrefour,52
1.14,1.14,Cerveza Cruzcampo Pilsen botella 1 l.,No promotion,cruzcampo,botella,1 l,1,https://static.carrefour.es/hd_280x_/img_pim_food/242601_00_1.jpg,Carrefour,53
2.89,1.93,Cerveza Amstel Radler con limón pack de 6 botellas de 25 cl.,Feliz Aniversario,amstel radler,botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/201557_00_1.jpg,Carrefour,54
0.53,1.61,"Cerveza Free Damm Lager 0,0 sin alcohol lata 33 cl.",No promotion,free damm,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/030464_00_1.jpg,Carrefour,55
2.5,1.67,"Cerveza San Miguel 0,0 sin alcohol pack de 6 botellas de 25 cl.",No promotion,"san miguel sin alcohol 0,0%",botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/000165_00_1.jpg,Carrefour,56
8.16,2.06,Cerveza Estrella Damm mediterránea pack de 12 latas de 33 cl.,No promotion,estrella damm,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/455117_00_1.jpg,Carrefour,57
0.56,1.7,"Cerveza Amstel Oro 0,0 tostada lata 33 cl.",No promotion,"amstel sin alcohol 0,0%",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/242464_00_1.jpg,Carrefour,58
0.53,1.61,"Cerveza Free Damm Lager 0,0 sin alcohol con limón lata 33 cl.",No promotion,free damm,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/722416_00_1.jpg,Carrefour,59
11.55,35.5,"Cerveza Corona pack de 10 botellas de 35,5 cl.",No promotion,corona,botella,5 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/977592_00_1.jpg,Carrefour,60
4.6,1.53,Cerveza San Miguel especial Lager pack de 12 botellas de 25 cl.,No promotion,san miguel,botella,25 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/000146_00_1.jpg,Carrefour,61
0.92,2.79,Cerveza Mahou Ipa lata 33 cl.,No promotion,mahou ipa,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/271660_00_1.jpg,Carrefour,62
9.55,1.59,Cerveza Mahou Clásica pack de 24 botellas de 25 cl.,No promotion,mahou clasica,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/274441_00_1.jpg,Carrefour,63
9.55,1.59,Cerveza San Miguel especial Lager pack de 24 botellas de 25 cl.,Feliz Aniversario,san miguel,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/153815_00_1.jpg,Carrefour,64
1.27,3.85,Cerveza Leffe botella 33 cl.,Feliz Aniversario,leffe,botella,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/037080_00_1.jpg,Carrefour,65
2.4,1.6,Cerveza Cruzcampo Shandy con limón pack de 6 botellas de 25 cl.,No promotion,cruzcampo shandy,botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/042531_00_1.jpg,Carrefour,66
4.9,1.63,Cerveza Mahou Clásica pack de 12 botellas de 25 cl.,No promotion,mahou clasica,botella,25 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/416933_00_1.jpg,Carrefour,67
1.62,3.68,Cerveza Guinness Draught irlandesa negra lata 44 cl.,Feliz Aniversario,guinness,lata,44 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/412827_00_1.jpg,Carrefour,68
9.35,2.36,Cerveza Mahou Maestra tostada doble lúpulo pack de 12 latas de 33 cl.,No promotion,mahou maestra,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/338217_00_1.jpg,Carrefour,69
4.65,3.52,Cerveza Alhambra Reserva tostada roja pack de 4 botellas de 33 cl.,No promotion,alhambra roja,botella,33 cl,4,https://static.carrefour.es/hd_280x_/img_pim_food/129763_00_1.jpg,Carrefour,70
1.46,4.42,Cerveza Alhambra reserva esencia citra ipa botella 33 cl.,No promotion,alhambra ipa,botella,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/477607_00_1.jpg,Carrefour,71
2.75,1.83,"Cerveza Free Damm Lager 0,0 sin alcohol pack de 6 botellas de 25 cl.",No promotion,free damm,botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/026488_00_1.jpg,Carrefour,72
2.0,6.06,Cerveza artesana BrewDog Punk IPA botella 33 cl.,Feliz Aniversario,brewdog,botella,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/179290_00_1.jpg,Carrefour,73
0.82,2.48,Cerveza Ambar Export tostada Tres Maltas lata 33 cl.,2ª al -50%,ambar export,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/744826_00_1.jpg,Carrefour,74
6.1,3.08,Cerveza 1906 Red Vintage La Colorada pack de 6 botellas de 33 cl.,No promotion,estrella galicia 1906 red,botella,33 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/088215_00_1.jpg,Carrefour,75
0.33,1.0,Cerveza rubia Carrefour sin alcohol lata 33 cl.,No promotion,"carrefour sin alcohol 0,0%",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/874903_00_1.jpg,Carrefour,76
0.71,2.15,Cerveza Mahou 5 Estrellas especial sin gluten lata 33 cl.,No promotion,mahou sin gluten,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/964368_00_1.jpg,Carrefour,77
6.25,1.58,Cerveza Mahou Mixta Shandy con limón pack de 12 latas de 33 cl.,No promotion,mahou mixta,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/710520_00_1.jpg,Carrefour,78
6.0,1.52,Cerveza Amstel 100% malta pack de 12 latas de 33 cl.,No promotion,amstel original,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/438853_00_1.jpg,Carrefour,79
6.4,2.84,Cerveza 1906 Reserva Especial pack de 9 botellas de 25 cl.,No promotion,estrella galicia 1906,botella,25 cl,9,https://static.carrefour.es/hd_280x_/img_pim_food/722843_00_1.jpg,Carrefour,80
1.19,2.38,Cerveza Erdinger Weissbier alemana de trigo botella 50 cl,2ª al -50%,erdinger,botella,50 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/036871_00_1.jpg,Carrefour,81
3.1,2.07,Cerveza Alhambra Lager especial pack 6 botellas de 25 cl.,No promotion,alhambra especial,botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/962154_00_1.jpg,Carrefour,82
0.57,1.73,"Cerveza Estrella Galicia 0,0 sin alcohol lata 33 cl.",No promotion,"estrella galicia sin alcohol 0,0%",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/358399_00_1.jpg,Carrefour,83
0.54,1.64,Cerveza Amstel Radler con zumo limón lata 33 cl.,No promotion,amstel radler,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/871994_00_1.jpg,Carrefour,84
0.68,2.06,Cerveza Mahou 5 Estrellas especial lata 33 cl.,No promotion,mahou 5 estrellas,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/000152_00_1.jpg,Carrefour,85
0.68,0.68,Cerveza Carrefour Lager botella 1 l.,No promotion,carrefour,botella,1 l,1,https://static.carrefour.es/hd_280x_/img_pim_food/440913_00_1.jpg,Carrefour,86
5.75,1.94,Cerveza Ambar Lager especial pack de 9 latas de 33 cl.,Feliz Aniversario,ambar,lata,33 cl,9,https://static.carrefour.es/hd_280x_/img_pim_food/491396_00_1.jpg,Carrefour,87
1.49,4.52,Cerveza Grimbergen Double-Ambrée belga botella 33 cl.,Feliz Aniversario,grimbergen,botella,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/008691_00_1.jpg,Carrefour,88
1.4,1.4,Cerveza Mahou Clásica botella 1 l.,No promotion,mahou clasica,botella,1 l,1,https://static.carrefour.es/hd_280x_/img_pim_food/000137_00_1.jpg,Carrefour,89
1.32,35.5,"Cerveza Coronita botella 35,5 cl.",No promotion,coronita,botella,5 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/296092_00_1.jpg,Carrefour,90
0.63,1.91,"Cerveza tostada Amstel 0,0 Radler con limón lata de 33 cl.",No promotion,"amstel radler sin alcohol 0,0%",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/476378_00_1.jpg,Carrefour,91
0.81,2.45,Cerveza Cruzcampo Ipa Andalusian lata de 33 cl.,No promotion,cruzcampo ipa,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/476322_00_1.jpg,Carrefour,92
6.2,1.57,Cerveza Cruzcampo Pilsen pack de 12 latas de 33 cl.,No promotion,cruzcampo,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/537803_00_1.jpg,Carrefour,93
0.61,1.85,"Cerveza Buckler 0,0 sin alcohol Radler con limón lata 33 cl.",No promotion,buckler,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/777157_00_1.jpg,Carrefour,94
1.27,3.85,Cerveza Leffe Brune belga negra botella 33 cl.,Feliz Aniversario,leffe,botella,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/037082_00_1.jpg,Carrefour,95
0.28,0.85,Cerveza Carrefour especial lata 33 cl.,No promotion,carrefour especial,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/115818_00_1.jpg,Carrefour,96
0.79,2.39,Cerveza Voll Damm doble malta lata 33 cl.,No promotion,voll-damm,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/026481_00_1.jpg,Carrefour,97
3.05,2.03,Cerveza Mahou 5 Estrellas especial pack de 6 botellas de 25 cl.,No promotion,mahou 5 estrellas,botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/000141_00_1.jpg,Carrefour,98
